factor,greater2,ratiogreater2
Momentum_1m,321,0.8106060606060606
Momentum_2m,291,0.7348484848484849
Momentum_3m,285,0.7196969696969697
Turnover_1m,273,0.6893939393939394
Turnover_2m,273,0.6893939393939394
Turnover_3m,279,0.7045454545454546
Volatility_1m,287,0.7247474747474747
Volatility_2m,280,0.7070707070707071
Volatility_3m,277,0.6994949494949495
std_1m,288,0.7272727272727273
std_2m,292,0.7373737373737373
std_3m,290,0.7323232323232324
ROA,246,0.6212121212121212
ROE,244,0.6161616161616161
EP,243,0.6136363636363636
BP,223,0.5631313131313131
