YearMonth,Index,floatShares
2020-01,FTNT,808240000.0
2020-02,FTNT,808240000.0
2020-03,FTNT,808240000.0
2020-04,FTNT,809160000.0
2020-05,FTNT,809160000.0
2020-06,FTNT,809160000.0
2020-07,FTNT,811660000.0
2020-08,FTNT,811660000.0
2020-09,FTNT,811660000.0
2020-10,FTNT,815950000.0
2020-11,FTNT,815950000.0
2020-12,FTNT,815950000.0
2021-01,FTNT,816590000.0
2021-02,FTNT,816590000.0
2021-03,FTNT,816590000.0
2021-04,FTNT,816600000.0
2021-05,FTNT,816600000.0
2021-06,FTNT,816600000.0
2021-07,FTNT,817500000.0
2021-08,FTNT,817500000.0
2021-09,FTNT,817500000.0
2021-10,FTNT,804080000.0
2021-11,FTNT,804080000.0
2021-12,FTNT,804080000.0
2022-01,FTNT,802640000.0
2022-02,FTNT,802640000.0
2022-03,FTNT,802640000.0
2022-04,FTNT,788520000.0
2022-05,FTNT,788520000.0
2022-06,FTNT,788520000.0
2022-07,FTNT,681622260.0
2020-01,LAND,21350000.0
2020-02,LAND,21350000.0
2020-03,LAND,21350000.0
2020-04,LAND,22020000.0
2020-05,LAND,22020000.0
2020-06,LAND,22020000.0
2020-07,LAND,24100000.0
2020-08,LAND,24100000.0
2020-09,LAND,24100000.0
2020-10,LAND,26740000.0
2020-11,LAND,26740000.0
2020-12,LAND,26740000.0
2021-01,LAND,29360000.0
2021-02,LAND,29360000.0
2021-03,LAND,29360000.0
2021-04,LAND,31330000.0
2021-05,LAND,31330000.0
2021-06,LAND,31330000.0
2021-07,LAND,34210000.0
2021-08,LAND,34210000.0
2021-09,LAND,34210000.0
2021-10,LAND,34210000.0
2021-11,LAND,34210000.0
2021-12,LAND,34210000.0
2022-01,LAND,34210000.0
2022-02,LAND,34210000.0
2022-03,LAND,34210000.0
2022-04,LAND,34210000.0
2022-05,LAND,34210000.0
2022-06,LAND,34210000.0
2022-07,LAND,32797824.0
2020-01,GDYN,50820000.0
2020-02,GDYN,50820000.0
2020-03,GDYN,50820000.0
2020-04,GDYN,50840000.0
2020-05,GDYN,50840000.0
2020-06,GDYN,50840000.0
2020-07,GDYN,50860000.0
2020-08,GDYN,50860000.0
2020-09,GDYN,50860000.0
2020-10,GDYN,53800000.0
2020-11,GDYN,53800000.0
2020-12,GDYN,53800000.0
2021-01,GDYN,54170000.0
2021-02,GDYN,54170000.0
2021-03,GDYN,54170000.0
2021-04,GDYN,62110000.0
2021-05,GDYN,62110000.0
2021-06,GDYN,62110000.0
2021-07,GDYN,65250000.0
2021-08,GDYN,65250000.0
2021-09,GDYN,65250000.0
2021-10,GDYN,66950000.0
2021-11,GDYN,66950000.0
2021-12,GDYN,66950000.0
2022-01,GDYN,67060000.0
2022-02,GDYN,67060000.0
2022-03,GDYN,67060000.0
2022-04,GDYN,67300000.0
2022-05,GDYN,67300000.0
2022-06,GDYN,67300000.0
2022-07,GDYN,48461482.0
2020-01,REG,169630000.0
2020-02,REG,169630000.0
2020-03,REG,169630000.0
2020-04,REG,169670000.0
2020-05,REG,169670000.0
2020-06,REG,169670000.0
2020-07,REG,169680000.0
2020-08,REG,169680000.0
2020-09,REG,169680000.0
2020-10,REG,169830000.0
2020-11,REG,169830000.0
2020-12,REG,169830000.0
2021-01,REG,169860000.0
2021-02,REG,169860000.0
2021-03,REG,169860000.0
2021-04,REG,169870000.0
2021-05,REG,169870000.0
2021-06,REG,169870000.0
2021-07,REG,171210000.0
2021-08,REG,171210000.0
2021-09,REG,171210000.0
2021-10,REG,171370000.0
2021-11,REG,171370000.0
2021-12,REG,171370000.0
2022-01,REG,172360000.0
2022-02,REG,172360000.0
2022-03,REG,172360000.0
2022-04,REG,170931726.0
2022-05,REG,170931726.0
2022-06,REG,170931726.0
2022-07,REG,170931726.0
2020-01,ODFL,117950000.0
2020-02,ODFL,117950000.0
2020-03,ODFL,117950000.0
2020-04,ODFL,117330000.0
2020-05,ODFL,117330000.0
2020-06,ODFL,117330000.0
2020-07,ODFL,117330000.0
2020-08,ODFL,117330000.0
2020-09,ODFL,117330000.0
2020-10,ODFL,116940000.0
2020-11,ODFL,116940000.0
2020-12,ODFL,116940000.0
2021-01,ODFL,115960000.0
2021-02,ODFL,115960000.0
2021-03,ODFL,115960000.0
2021-04,ODFL,115810000.0
2021-05,ODFL,115810000.0
2021-06,ODFL,115810000.0
2021-07,ODFL,115010000.0
2021-08,ODFL,115010000.0
2021-09,ODFL,115010000.0
2021-10,ODFL,114860000.0
2021-11,ODFL,114860000.0
2021-12,ODFL,114860000.0
2022-01,ODFL,113350000.0
2022-02,ODFL,113350000.0
2022-03,ODFL,113350000.0
2022-04,ODFL,111770000.0
2022-05,ODFL,111770000.0
2022-06,ODFL,111770000.0
2022-07,ODFL,103264874.0
2020-01,SYNA,34040000.0
