,Index,floatShares
0,FTNT,681622260.0
1,LAND,32797824.0
2,GDYN,48461482.0
3,REG,170931726.0
4,ODFL,103264874.0
5,SYNA,39280818.0
6,PRFT,33874236.0
7,IMKTA,14315681.0
8,METC,24165453.0
9,PTSI,5154170.0
10,CLMT,53727885.0
11,MCBS,18100077.0
12,GAIN,
13,SBNY,61311411.0
14,KRUS,4109036.0
15,LKQ,267895984.0
16,COKE,4553082.0
17,EXLS,32163729.0
18,PCB,11310595.0
19,INMD,68675303.0
20,WIRE,18559258.0
21,CCRN,36096055.0
22,PAYX,320219540.0
23,IRMD,5101309.0
24,AEHR,23410921.0
25,RELL,8479807.0
26,RRR,51925082.0
27,AFBI,4869475.0
28,INTU,273148825.0
29,CCB,10619770.0
30,MSFT,7450956033.0
31,GOOGL,11166443820.0
32,TBK,21048394.0
33,DOGZ,25637922.0
34,GOOD,35796017.0
35,BWFG,5614957.0
36,GOOG,10989961320.0
37,NVDA,2400900000.0
38,ATLC,4447370.0
39,BBCP,36995114.0
40,BCYC,18390393.0
41,CG,210005656.0
42,NVMI,
43,CACC,5659440.0
44,STX,189075035.0
45,TW,107384447.0
46,ACLS,32345483.0
47,AVGO,397409113.0
48,ORLY,62978236.0
49,KFRC,19099669.0
50,LMST,3495466.0
51,LAMR,86373447.0
52,LNTH,67063029.0
53,CSCO,4072480896.0
54,TSCO,109287882.0
55,MRBK,3717146.0
56,CDW,127478980.0
57,PSEC,
58,SCVL,16986135.0
59,ASO,74340030.0
60,BNTX,90814460.0
61,HTBI,12730144.0
62,RICK,7504627.0
63,MXL,72131081.0
64,JYNT,11804188.0
65,AOSL,22341106.0
66,EXTR,128078864.0
67,KZR,36421536.0
68,SKIN,145376416.0
69,CPLP,14225262.0
70,SBAC,106447761.0
71,WSC,208621040.0
72,WRLD,2526696.0
73,CRAI,6873630.0
74,CAMT,26925477.0
75,CPRX,86190506.0
76,CRNX,40541351.0
77,CTHR,25194581.0
78,FANG,176642441.0
79,OPBK,11802068.0
80,ONEW,9888103.0
81,SITM,16084500.0
82,CROX,59388679.0
83,DVAX,117528700.0
84,SALM,11714061.0
85,SIMO,28587919.0
86,MYRG,16118336.0
87,RBB,12571522.0
88,PDSB,25711926.0
89,HFBL,1798231.0
90,ASML,396089064.0
91,AMAT,866928560.0
92,MRNA,360028049.0
93,LRFC,
94,OMCL,43323513.0
95,NVEE,12330195.0
96,UFPI,61161086.0
97,DDOG,243398179.0
98,CRTO,59374530.0
99,CYBE,6227250.0
100,MRVL,844611138.0
101,AVID,34087051.0
102,PFMT,45232878.0
103,INSE,17344913.0
104,PI,21394386.0
105,CLBK,32199730.0
106,ZS,84221045.0
107,CASH,28445139.0
108,FRBA,14813630.0
109,TWNK,135879996.0
110,TBBK,54325552.0
111,SFM,103196736.0
112,LOB,32862865.0
113,CWST,49980160.0
114,PFG,251542094.0
115,RDWR,35211563.0
116,UPST,72562069.0
117,VCTR,17685037.0
118,AMBA,36321514.0
119,POOL,37710791.0
120,SGRY,37807595.0
121,BRY,71630967.0
122,TNDM,63602622.0
123,RETO,25562660.0
124,SCHL,61535061.0
125,RMBS,109274353.0
126,PVBC,15607985.0
127,GPP,7950593.0
128,CYTK,84967852.0
129,ESQ,5336609.0
130,PLBY,31518319.0
131,EQBK,13121902.0
132,MEDP,24640816.0
133,MBIN,25561726.0
134,VNOM,58465067.0
135,ZBRA,52229202.0
136,KRNT,46725721.0
137,SPT,45498131.0
138,AAPL,16054038418.0
139,LEGH,9035248.0
140,MRUS,33401153.0
141,NTAP,220458284.0
142,SYNH,102042663.0
143,ISEE,97069409.0
144,HIMX,125342945.0
145,ICLR,80953475.0
146,HAYN,10967029.0
147,PLAB,59711952.0
148,LPLA,79311154.0
149,ENTA,16769409.0
150,JAKK,6992720.0
151,FNKO,26249587.0
152,BCRX,167324296.0
153,TEAM,143646398.0
154,SGH,45122357.0
155,PFSW,12345537.0
156,PETZ,4683936.0
157,SNPS,152014185.0
158,ESTA,13897301.0
159,KLAC,147921080.0
160,DSKE,60198426.0
161,ANGO,38068326.0
162,HUBG,32796089.0
163,STLD,176224978.0
164,SISI,8598712.0
165,GLAD,
166,FFNW,6192410.0
167,TH,23289995.0
168,VBTX,52376170.0
169,BSVN,3884580.0
170,MORN,21116514.0
171,CTRN,6265473.0
172,HBCP,6560545.0
173,PTMN,
174,RBCAA,9115670.0
175,SLAB,33455855.0
176,FFIV,55378742.0
177,MGYR,5838071.0
178,ZNTL,32991985.0
179,QFIN,76900875.0
180,MRAM,13556987.0
181,IRIX,12931064.0
182,SPFI,10198928.0
183,IDYA,23855901.0
184,LEGN,57918849.0
185,VECO,49950663.0
186,LBC,9992616.0
187,FAST,572486563.0
188,VRNT,59953198.0
189,ICFI,18000183.0
190,TROW,220994988.0
191,HONE,41082857.0
192,CONN,13897157.0
193,ULTA,51076554.0
194,HLIT,86230893.0
195,PZZA,32571575.0
196,HVBC,1604071.0
197,SGLY,19414857.0
198,CNNB,2237065.0
199,PRAA,38986270.0
200,HCCI,14780370.0
201,ISRG,355368489.0
202,MRVI,90525913.0
203,HMST,17717081.0
204,VALU,852260.0
205,LQDA,46008231.0
206,LIFE,27178650.0
207,FOXF,42080032.0
208,ADTN,44535352.0
209,LTRX,26066812.0
210,SRTS,12891911.0
211,CUTR,12499136.0
212,TITN,19730981.0
213,ATOS,118832929.0
214,OBNK,22323744.0
215,IDXX,83166321.0
216,MMLP,29128350.0
217,ARCC,
218,RBKB,3637088.0
219,CSQ,
220,MANH,62206954.0
221,RPD,57350902.0
222,CFB,42772806.0
223,INVA,57366617.0
224,LGIH,20709655.0
225,EZPW,51891909.0
226,MGIC,26113268.0
227,LRCX,136540789.0
228,UCTT,44319463.0
229,REGN,103128192.0
230,HSII,18118623.0
231,VRSN,106711220.0
232,MDB,65478255.0
233,TTGT,27008138.0
234,SWAV,35367425.0
235,BWB,19988875.0
236,EOLS,34040794.0
237,MYFW,6693012.0
238,BGFV,20768520.0
239,FORR,11111357.0
240,NXST,38546464.0
241,HZNP,227426616.0
242,PERI,43439775.0
243,ENTG,127827935.0
244,HBIO,31338140.0
245,BTOG,52466203.0
246,ATNF,23316698.0
247,CSTR,17678812.0
248,ZI,274210220.0
249,KIDS,14248526.0
250,DXCM,390744493.0
251,CNSL,73607435.0
252,CSGS,30117220.0
253,LEDS,2918506.0
254,PLCE,12551653.0
255,NSIT,30340025.0
256,AMKR,68655657.0
257,MHLD,64397419.0
258,UFPT,6059782.0
259,UXIN,216268157.0
260,HLNE,31104241.0
261,PDFS,32597046.0
262,CZWI,7953938.0
263,ERII,50747588.0
264,PXLW,49699230.0
265,SMCI,45031808.0
266,NTLA,68691748.0
267,BECN,53401981.0
268,ITRN,14034989.0
269,VIR,75203958.0
270,ITOS,24217080.0
271,TTEK,53144342.0
272,ANAB,17949168.0
273,FLGT,20462067.0
274,RAIL,12229648.0
275,IMNM,9043755.0
276,CENT,50090476.0
277,BCBP,13937219.0
278,HEES,31213727.0
279,PLXP,20055994.0
280,LOVE,14468289.0
281,KOPN,79319646.0
282,FOCS,57542433.0
283,CHEF,34188376.0
284,BCML,11719693.0
285,ZEUS,9625324.0
286,MTSI,51116876.0
287,UTHR,38709792.0
288,HIBB,11936400.0
289,NXPI,262115290.0
290,BLKB,41657906.0
291,PDLB,22112945.0
292,NEXT,42719131.0
293,MSBI,19506002.0
294,META,2240017900.0
295,CTAS,85800414.0
296,CPRT,214280841.0
297,MPWR,44067374.0
298,PTEN,213205738.0
299,LSTR,36054004.0
300,FISI,14688010.0
301,CDXS,60393195.0
302,ICCH,959550.0
303,PUBM,40782874.0
304,EQIX,90749136.0
305,IPWR,5416852.0
306,ALEC,55208434.0
307,MGTX,24986115.0
308,SCHN,25707967.0
309,DLTH,12816463.0
310,DTEA,14071513.0
311,ICCC,5529334.0
312,GOGO,48245000.0
313,LQDT,22734145.0
314,QUIK,12035536.0
315,VSAT,50135579.0
316,TSLA,865224194.0
317,SHOO,74399296.0
318,RCKY,6435945.0
319,EBAY,558061837.0
320,OXSQ,46441780.0
321,ALOT,5991040.0
322,NFBK,46828521.0
323,ETSY,125671991.0
324,CMRX,62776554.0
325,FBNC,34962073.0
326,PANL,36039863.0
327,ICHR,28339603.0
328,RGEN,51666478.0
329,PRCH,71844511.0
330,DGII,34247014.0
331,ALTR,42488599.0
332,OSS,16393058.0
333,TRMB,248876751.0
334,INBX,19416394.0
335,MNKD,248847637.0
336,SSBI,4652011.0
337,PAVM,78715747.0
338,CELC,5469483.0
