Index,industry
FTNT,Technology
LAND,Real Estate
GDYN,Technology
REG,Real Estate
ODFL,Industrials
SYNA,Technology
PRFT,Technology
IMKTA,Consumer Defensive
METC,Basic Materials
PTSI,Industrials
CLMT,Energy
MCBS,Financial Services
GAIN,Financial Services
SBNY,Financial Services
KRUS,Consumer Cyclical
LKQ,Consumer Cyclical
COKE,Consumer Defensive
EXLS,Technology
PCB,Financial Services
INMD,Healthcare
WIRE,Industrials
CCRN,Healthcare
PAYX,Industrials
IRMD,Healthcare
AEHR,Technology
RELL,Technology
RRR,Consumer Cyclical
AFBI,Financial Services
INTU,Technology
CCB,Financial Services
MSFT,Technology
GOOGL,Communication Services
TBK,Financial Services
DOGZ,Consumer Cyclical
GOOD,Real Estate
BWFG,Financial Services
GOOG,Communication Services
NVDA,Technology
ATLC,Financial Services
BBCP,Industrials
BCYC,Healthcare
CG,Financial Services
NVMI,Technology
CACC,Financial Services
STX,Technology
TW,Financial Services
ACLS,Technology
AVGO,Technology
ORLY,Consumer Cyclical
KFRC,Industrials
LMST,Financial Services
LAMR,Real Estate
LNTH,Healthcare
CSCO,Technology
TSCO,Consumer Cyclical
MRBK,Financial Services
CDW,Technology
PSEC,Financial Services
SCVL,Consumer Cyclical
ASO,Consumer Cyclical
BNTX,Healthcare
HTBI,Financial Services
RICK,Consumer Cyclical
MXL,Technology
JYNT,Healthcare
AOSL,Technology
EXTR,Technology
KZR,Healthcare
SKIN,Consumer Defensive
CPLP,Industrials
SBAC,Real Estate
WSC,Industrials
WRLD,Financial Services
CRAI,Industrials
CAMT,Technology
CPRX,Healthcare
CRNX,Healthcare
CTHR,Consumer Cyclical
FANG,Energy
OPBK,Financial Services
ONEW,Consumer Cyclical
SITM,Technology
CROX,Consumer Cyclical
DVAX,Healthcare
SALM,Communication Services
SIMO,Technology
MYRG,Industrials
RBB,Financial Services
PDSB,Healthcare
HFBL,Financial Services
ASML,Technology
AMAT,Technology
MRNA,Healthcare
LRFC,Financial Services
OMCL,Healthcare
NVEE,Industrials
UFPI,Basic Materials
DDOG,Technology
CRTO,Communication Services
CYBE,Technology
MRVL,Technology
AVID,Communication Services
PFMT,Industrials
INSE,Consumer Cyclical
PI,Technology
CLBK,Financial Services
ZS,Technology
CASH,Financial Services
FRBA,Financial Services
TWNK,Consumer Defensive
TBBK,Financial Services
SFM,Consumer Defensive
LOB,Financial Services
CWST,Industrials
PFG,Financial Services
RDWR,Technology
UPST,Financial Services
VCTR,Financial Services
AMBA,Technology
POOL,Industrials
SGRY,Healthcare
BRY,Energy
TNDM,Healthcare
RETO,Basic Materials
SCHL,Communication Services
RMBS,Technology
PVBC,Financial Services
GPP,Energy
CYTK,Healthcare
ESQ,Financial Services
PLBY,Consumer Cyclical
EQBK,Financial Services
MEDP,Healthcare
MBIN,Financial Services
VNOM,Energy
ZBRA,Technology
KRNT,Industrials
SPT,Technology
AAPL,Technology
LEGH,Consumer Cyclical
MRUS,Healthcare
NTAP,Technology
SYNH,Healthcare
ISEE,Healthcare
HIMX,Technology
ICLR,Healthcare
HAYN,Industrials
PLAB,Technology
LPLA,Financial Services
ENTA,Healthcare
JAKK,Consumer Cyclical
FNKO,Consumer Cyclical
BCRX,Healthcare
TEAM,Technology
SGH,Technology
PFSW,Industrials
PETZ,Consumer Defensive
SNPS,Technology
ESTA,Healthcare
KLAC,Technology
DSKE,Industrials
ANGO,Healthcare
HUBG,Industrials
STLD,Basic Materials
SISI,Healthcare
GLAD,Financial Services
FFNW,Financial Services
TH,Industrials
VBTX,Financial Services
BSVN,Financial Services
MORN,Financial Services
CTRN,Consumer Cyclical
HBCP,Financial Services
PTMN,Financial Services
RBCAA,Financial Services
SLAB,Technology
FFIV,Technology
MGYR,Financial Services
ZNTL,Healthcare
QFIN,Financial Services
MRAM,Technology
IRIX,Healthcare
SPFI,Financial Services
IDYA,Healthcare
LEGN,Healthcare
VECO,Technology
LBC,Financial Services
